slug,label,old_path,new_path,depth_change,direct_broader_old,direct_broader_new,disposition,owner_signoff,notes
CM-1-1-4-1-3,Perform overrides (with rationale) in Refinery Premise,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Develop Refinery Premise for Prompt and Out Month > Perform overrides (with rationale) in Refinery Premise,Downstream Operations > Refining > Refinery Planning and Optimization > Develop Refinery Premise for Prompt and Out Month > Perform overrides (with rationale) in Refinery Premise,L5 → L4,CM-1-1-4-1,CM-1-1-4-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-1-4,Identify changes needed out of cycle for refinery premise,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Develop Refinery Premise for Prompt and Out Month > Identify changes needed out of cycle for refinery premise,Downstream Operations > Refining > Refinery Planning and Optimization > Develop Refinery Premise for Prompt and Out Month > Identify changes needed out of cycle for refinery premise,L5 → L4,CM-1-1-4-1,CM-1-1-4-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-2-1,Perform Initial Review of M+1,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Receive RO Targets > Perform Initial Review of M+1,Downstream Operations > Refining > Refinery Planning and Optimization > Receive RO Targets > Perform Initial Review of M+1,L5 → L4,CM-1-1-4-2,CM-1-1-4-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-2-2,Receive Handover of M+1 Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Receive RO Targets > Receive Handover of M+1 Plan,Downstream Operations > Refining > Refinery Planning and Optimization > Receive RO Targets > Receive Handover of M+1 Plan,L5 → L4,CM-1-1-4-2,CM-1-1-4-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-4-1,Evaluate Market Scenarios Identified for Prompt Month Horizon,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Perform Prompt Month Evaluations > Evaluate Market Scenarios Identified for Prompt Month Horizon,Downstream Operations > Refining > Refinery Planning and Optimization > Perform Prompt Month Evaluations > Evaluate Market Scenarios Identified for Prompt Month Horizon,L5 → L4,CM-1-1-4-4,CM-1-1-4-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-4-2,Develop Step Cases for Prompt Month Horizon,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Perform Prompt Month Evaluations > Develop Step Cases for Prompt Month Horizon,Downstream Operations > Refining > Refinery Planning and Optimization > Perform Prompt Month Evaluations > Develop Step Cases for Prompt Month Horizon,L5 → L4,CM-1-1-4-4,CM-1-1-4-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-4-3,Run Step Cases for Prompt Month Horizon,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Perform Prompt Month Evaluations > Run Step Cases for Prompt Month Horizon,Downstream Operations > Refining > Refinery Planning and Optimization > Perform Prompt Month Evaluations > Run Step Cases for Prompt Month Horizon,L5 → L4,CM-1-1-4-4,CM-1-1-4-4,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-1,Capture Product Demand Requirements,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Product Demand Requirements,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Product Demand Requirements,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-2,Evaluate Crude & Feedstock,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Evaluate Crude & Feedstock,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Evaluate Crude & Feedstock,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-3,Capture Crude Availability,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Crude Availability,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Crude Availability,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-4,Capture Product/Crude/Feedstock Price,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Product/Crude/Feedstock Price,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Product/Crude/Feedstock Price,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-5,Capture Refinery Level Constraints,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Refinery Level Constraints,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Refinery Level Constraints,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-6,Capture Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Inventory,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Inventory,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-7,Capture Monthly Operating Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Monthly Operating Plan,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Capture Monthly Operating Plan,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-7-8,Perform Scenario Analysis,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Perform Scenario Analysis,Downstream Operations > Refining > Refinery Planning and Optimization > Refinery Optimization > Perform Scenario Analysis,L5 → L4,CM-1-1-4-7,CM-1-1-4-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-1,Daily Execution Planning,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Daily Execution Planning,L4 → L3,CM-1-1-7,CM-1-1-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2,Production Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling,L4 → L3,CM-1-1-7,CM-1-1-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-3,Energy & Utility Management,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Energy & Utility Management,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Energy & Utility Management,L4 → L3,CM-1-1-7,CM-1-1-7,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-1-1,Update Refinery Execution Instructions,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Update Refinery Execution Instructions,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Daily Execution Planning > Update Refinery Execution Instructions,L5 → L4,CM-1-1-7-1,CM-1-1-7-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-1-2,Schedule Resources,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Schedule Resources,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Daily Execution Planning > Schedule Resources,L5 → L4,CM-1-1-7-1,CM-1-1-7-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-1-3,Perform Production Accounting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Perform Production Accounting,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Daily Execution Planning > Perform Production Accounting,L5 → L4,CM-1-1-7-1,CM-1-1-7-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-1,Maintain Production Scheduling Master Data,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Maintain Production Scheduling Master Data,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Maintain Production Scheduling Master Data,L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-2,Review Production Wheel and Run Length,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Review Production Wheel and Run Length,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Review Production Wheel and Run Length,L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-3,Create Production Scheduling and Sequencing Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Create Production Scheduling and Sequencing Plan,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Create Production Scheduling and Sequencing Plan,L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-4,Manage Production Schedule Exceptions,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Manage Production Schedule Exceptions,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Manage Production Schedule Exceptions,L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-5,Measure Production Scheduling Performance,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Measure Production Scheduling Performance,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Measure Production Scheduling Performance,L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-2-6,"Manage The Interface to Planning, Operations, Engineering & Maintenance","Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling > Manage The Interface to Planning, Operations, Engineering & Maintenance","Downstream Operations > Refining > Refinery Production Planning and Scheduling > Production Scheduling > Manage The Interface to Planning, Operations, Engineering & Maintenance",L5 → L4,CM-1-1-7-2,CM-1-1-7-2,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-3-1,Optimize Internal vs. External Energy Sources,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Energy & Utility Management > Optimize Internal vs. External Energy Sources,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Energy & Utility Management > Optimize Internal vs. External Energy Sources,L5 → L4,CM-1-1-7-3,CM-1-1-7-3,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-3-2,Optimize Plant Energy Balance,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Energy & Utility Management > Optimize Plant Energy Balance,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Energy & Utility Management > Optimize Plant Energy Balance,L5 → L4,CM-1-1-7-3,CM-1-1-7-3,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-7-3-3,Manage and Support Emissions Trading,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Energy & Utility Management > Manage and Support Emissions Trading,Downstream Operations > Refining > Refinery Production Planning and Scheduling > Energy & Utility Management > Manage and Support Emissions Trading,L5 → L4,CM-1-1-7-3,CM-1-1-7-3,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-6,Commercial Development,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Commercial Development,L4 → L3,CM-1-1-4,CM-1-1,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
CM-1-1-4-6-1,Develop Strategic Business Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development > Develop Strategic Business Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Commercial Development > Develop Strategic Business Plan,L5 → L4,CM-1-1-4-6,CM-1-1-4-6,"No consumer — foundation stage, confirmed 2026-09-22 (Hamid)",Hamid,
