slug,level,is_stub,lsc_name,breadcrumb,triage,apqc_id,apqc_hier,apqc_depth,level_delta,apqc_name,apqc_match_score,apqc_name_only_score,apqc_description,eia_term,eia_definition,eia_url,agreement,decision,adopted_definition,provenance,web_validator,web_agreement,Decision,Notes
CM-1-1-3-5-3,5,no,Process Business Renewal Request,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Product Scheduling > Process Business Renewal Request,WEAK,10324,6.3.4.1.1,5,0,Process customer request,0.571,0.571,"Soliciting or acquiring information using various sources such as databases, customer interactions, and customer request forms. Hand them further up the hierarchy to deal with them. Categorize the user's request, determining if the request is supportable and prioritizing the request.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-6,4,no,Physical Distribution Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Physical Distribution Scheduling,NONE,20022,4.0,1,3,Deliver Physical Products,0.333,0.333,,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-3-6-1,5,no,Plan & Execute Nominations,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Physical Distribution Scheduling > Plan & Execute Nominations,WEAK,20851,8.6.4.3,4,1,Execute internal IT implementation plan,0.571,0.571,Executing IT implementation plan to make the IT services and solutions available for internal use.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-6-2,5,no,Loading Shipment,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Physical Distribution Scheduling > Loading Shipment,NONE,10226,4.1.8,3,2,Establish distribution planning constraints,0.25,0.0,Instituting the constraints for planning of distribution process. Create a plan that specifies every element in the distribution process from the blueprint of the distribution centers to how and when the inventory would reach the distribution centers.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-3-6-3,5,no,Track Movements and Inventory Management,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Physical Distribution Scheduling > Track Movements and Inventory Management,WEAK,10353,4.4.4.1,4,1,Track inventory deployment,0.571,0.571,"Tracking the logistical act of delivering or releasing an inventory item or entity to targeted end users. Track how much inventory has been deployed at all the distribution centers, individually.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-6-4,5,no,Discharge & Reconcile Load,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Physical Distribution Scheduling > Discharge & Reconcile Load,WEAK,12940,4.4.4.9,4,1,Reconcile inventories,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7,4,no,Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory,WEAK,12900,4.1.3.1,4,0,Determine inventory targets,0.5,0.5,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-1,5,no,Develop Crude/Feedstock Inventory Policy,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Develop Crude/Feedstock Inventory Policy,WEAK,10346,4.4.1.4,4,1,Develop and maintain delivery service policy,0.4,0.4,"Establishing rules and regulations, as well as the terms and conditions regarding the delivery of service by the company. Develop a delivery plan that specifies what, how, when, and in which way to deliver services to the customer.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-2,5,no,Develop Intermediates Inventory Policy,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Develop Intermediates Inventory Policy,WEAK,10346,4.4.1.4,4,1,Develop and maintain delivery service policy,0.444,0.444,"Establishing rules and regulations, as well as the terms and conditions regarding the delivery of service by the company. Develop a delivery plan that specifies what, how, when, and in which way to deliver services to the customer.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-3,5,no,Develop Finished Product Inventory Policy,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Develop Finished Product Inventory Policy,WEAK,16801,1.2.2.3.1,5,0,Develop service as a product strategy,0.444,0.444,Defining objectives related to business and delivery models to productize service.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-4,5,no,Measure Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Measure Inventory,WEAK,16436,13.6,2,3,Measure and benchmark,0.5,0.5,"Creating and administering a strategy to manage organizational performance. Benchmark the performance of the internal processes, as well as the organization as a whole.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-5,5,no,Perform Inventory Reconciliation,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Perform Inventory Reconciliation,STRONG,10507,7.5.2.4,4,1,Perform benefit reconciliation,0.667,0.667,Carrying out reconciliation of benefits delivered to employees. Compare the estimated benefit requirement made by the employee and the actual amount of benefits the employee is entitled to receive.,,,,pending,NEEDS REVIEW,,,Missouri State University Internal Audit — Insurance Benefit Reconciliation Procedures,0.111,REJECTED,FALSE MATCH: LSC 'Perform Inventory Reconciliation' is inventory reconciliation; APQC 'Perform benefit reconciliation' (10507) is employee-benefits reconciliation (name similarity 0.667 is misleading). Web validator confirms the HR sense.
CM-1-1-3-7-6,5,no,Manage Consignment Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Consignment Inventory,STRONG,12942,4.4.5.1,4,1,Manage bulk inventory,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-7-7,5,no,Manage Commingled Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Commingled Inventory,STRONG,12942,4.4.5.1,4,1,Manage bulk inventory,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-7-8,5,no,Manage Inventory Re-brands,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Inventory Re-brands,STRONG,12410,3.1.2.4.1,5,0,Develop and manage brands,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-7-9,5,no,Manage Inventory Replenishment,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Inventory Replenishment,STRONG,12942,4.4.5.1,4,1,Manage bulk inventory,0.667,0.667,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-7-10,5,no,Manage Lot/Batch Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Lot/Batch Inventory,WEAK,12942,4.4.5.1,4,1,Manage bulk inventory,0.571,0.571,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-7-11,5,no,Manage Third Party Storage,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Third Party Storage,STRONG,12944,4.4.5.3,4,1,Manage third party bulk storage,0.889,0.889,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-7-12,5,no,Manage Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Inventory > Manage Inventory,STRONG,12942,4.4.5.1,4,1,Manage bulk inventory,0.8,0.8,,,,,pending,NEEDS REVIEW,,,,,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-3-8,4,no,Secondary Distribution Management,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Secondary Distribution Management,NONE,17042,4.1.6,3,1,Plan distribution requirements,0.333,0.333,"Maintaining master data of finished products and inventory. Identify the requirements of finished products at the destination, as well as partner requirements. Calculate the consolidation at source. Manage replenishment planning. Create and administer a dispatch plan. Calculate load plans for destinations and partners. Manage the cost of supplying these products. Ensure effective utilization of capacity.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-3-8-1,5,no,Generate Orders,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Secondary Distribution Management > Generate Orders,WEAK,10136,3.4.1.3,4,1,Generate sales forecast,0.4,0.4,Calculating the future demand for the organization's products/services. Use the trends and patterns identified in the sales data to estimate future demand. Use forecast to prepare for future customer demand and to recalibrate the strategic course of functions and business units.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-8-2,5,no,Schedule Secondary Distribution,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Secondary Distribution Management > Schedule Secondary Distribution,WEAK,10303,4.3.1,3,2,Schedule production,0.4,0.4,Scheduling the production of final products. Generate a detailed schedule plan. Create and release production orders and lots. Schedule the planned and unplanned maintenance orders.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-3-8-3,5,no,Setup Scheduling System,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Secondary Distribution Management > Setup Scheduling System,NONE,10198,3.5.5.5,4,1,Enter orders into system,0.333,0.333,"Analyzing all data relating to sales orders by entering it into a centralized repository, and using the insights generated to create opportunities for cross-/up-selling. Maintain up-to-date records of sales, along with current status. Include all sales activity with relevant information about the associated customers, and identify patterns in the data. Glean insights from these patterns to persuade customers to purchase additional offerings or upgrade purchased products/services.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-3-8-4,5,no,Monitor Secondary Distribution Performance,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Planning & Scheduling and Inventory Management > Secondary Distribution Management > Monitor Secondary Distribution Performance,WEAK,16574,3.2.4.2,4,1,Monitor and report performance,0.571,0.571,Tracking trends and changes in performance inside individual marketing channels and in channels collectively. Summarize and document results. Alert relevant parties about significant or unexpected deviations from expected behaviors.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4,3,no,Refinery Planning,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning,WEAK,19243,10.3.1.6,4,-1,Conduct resource planning,0.4,0.4,Analyzing workload needs in relation to asset maintenance and plan resources around those needs.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-6,4,no,Commercial Development,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development,WEAK,10472,7.3.3,3,1,Manage employee development,0.4,0.4,"Establishing employee development guidelines. Lay out career paths and plans for them. Manage the development of their skills to enhance their skills, ability, and knowledge.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-6-1,5,no,Develop Strategic Business Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development > Develop Strategic Business Plan,WEAK,10015,1.2,2,3,Develop business strategy,0.571,0.571,"Developing an organization's mission statement, strategy, and business design. Create a concise statement that clearly articulates the mission of the organization, outlining practicable targets to Establish a strategic vision [10020]. Delineate strategic options by matching these alternatives with the organization's internal capabilities. Create an organizational design, and identify goals by developing strategies at the functional and process levels.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-6-2,5,no,Plan Budgets,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development > Plan Budgets,WEAK,10943,10.1.3,3,2,Plan facility,0.5,0.5,Recognizing the needs of facility users in order to construct a project proposal that meets those needs.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-6-3,5,no,Manage Site Specific Business Risk,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Commercial Development > Manage Site Specific Business Risk,STRONG,17462,11.1.3,3,2,Manage business unit and function risk,0.6,0.6,Analyzing the threats a business unit/function faces to prioritize the controls it implements..,,,,pending,NEEDS REVIEW,,,Investopedia — Time Horizon (Business Risk),0.167,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-4-7,4,no,Refinery Optimization,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization,NONE,19569,4.3.2.5.3,5,-1,Perform real-time optimization,0.333,0.333,"Helping organizations increase performance and efficiency, real-time optimization is a category of closed-loop process control that aims at optimizing process performance in real time for systems. It is normally built upon model-based optimization systems and is usually large scale. Real-time optimization automatically detects errors, and can modify and eliminate both random and non-random errors, as well as analyze and monitor all systems involved.",,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-4-7-1,5,no,Capture Product Demand Requirements,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Product Demand Requirements,WEAK,11331,2.2.3.1,4,1,Define product/service requirements,0.5,0.5,Determining requirements related to the creation of the product/service. Explain potential achievements that could be made.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-7-2,5,no,Evaluate Crude & Feedstock,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Evaluate Crude & Feedstock,WEAK,20732,8.3.4.1,4,1,Evaluate IT continuity,0.4,0.4,Evaluating IT business needs and IT's ability to recover from internal or external threat exposure.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-7-3,5,no,Capture Crude Availability,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Crude Availability,WEAK,10196,3.5.5.3,4,1,Determine availability,0.4,0.4,"Ascertaining the volume or scale of products/services to provide to customers to fulfill sales orders. Check the finished products stored in warehouses, the production capacity, and (in the case of services) the processing speed, as well as work force availability.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-7-4,5,no,Capture Product/Crude/Feedstock Price,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Product/Crude/Feedstock Price,NONE,16820,2.3.1.8.2,5,0,Design for product servicing,0.25,0.25,Creating product application service view to allow for product servicing and refurbishing.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-4-7-5,5,no,Capture Refinery Level Constraints,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Refinery Level Constraints,NONE,10226,4.1.8,3,2,Establish distribution planning constraints,0.267,0.25,Instituting the constraints for planning of distribution process. Create a plan that specifies every element in the distribution process from the blueprint of the distribution centers to how and when the inventory would reach the distribution centers.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-4-7-6,5,no,Capture Inventory,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Inventory,WEAK,12900,4.1.3.1,4,1,Determine inventory targets,0.4,0.4,,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-4-7-7,5,no,Capture Monthly Operating Plan,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Capture Monthly Operating Plan,NONE,10943,10.1.3,3,2,Plan facility,0.333,0.333,Recognizing the needs of facility users in order to construct a project proposal that meets those needs.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-4-7-8,5,no,Perform Scenario Analysis,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Planning > Refinery Optimization > Perform Scenario Analysis,STRONG,11783,3.5.4.4,4,1,Perform competitive analysis,0.667,0.667,"Comparing the proposals submitted by different bidders in terms of cost, efficiency and value.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'Competitor analysis',0.0,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-5,3,no,Regional Backcasting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Regional Backcasting,NONE,11222,11.4.2,3,0,Perform continuous business operations planning,0.308,0.0,Developing plans to ensure continuous business operations.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-6,3,no,Distribution Backcasting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Distribution Backcasting,WEAK,17042,4.1.6,3,0,Plan distribution requirements,0.4,0.4,"Maintaining master data of finished products and inventory. Identify the requirements of finished products at the destination, as well as partner requirements. Calculate the consolidation at source. Manage replenishment planning. Create and administer a dispatch plan. Calculate load plans for destinations and partners. Manage the cost of supplying these products. Ensure effective utilization of capacity.",,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
CM-1-1-7-1,4,no,Daily Execution Planning,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning,NONE,19243,10.3.1.6,4,0,Conduct resource planning,0.333,0.333,Analyzing workload needs in relation to asset maintenance and plan resources around those needs.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-7-1-1,5,no,Update Refinery Execution Instructions,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Update Refinery Execution Instructions,NONE,20954,1.4.2.4,4,1,Update existing models,0.286,0.286,Modifying the business models that are presently in use in response to incoming feedback or changing markets to achieve the enterprise business goals.,,,,pending,NEEDS REVIEW,,,,,NO CANDIDATE,no meaningful APQC candidate
CM-1-1-7-1-2,5,no,Schedule Resources,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Schedule Resources,STRONG,20882,8.7.3.1.1,5,0,Schedule service delivery resources,0.667,0.667,"Scheduling resources to provide service delivery to IT users. Ensure design, development, deployment, and operations are aligned with the business objectives.",,,,pending,NEEDS REVIEW,,,Wikipedia: 'IT service management',0.105,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-7-1-3,5,no,Perform Production Accounting,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Daily Execution Planning > Perform Production Accounting,STRONG,10774,9.1.2.1,4,1,Perform inventory accounting,0.667,0.667,"Conducting accounting for assets, and finding reasons for changes (depreciation, obsolescence, deterioration, change in customer taste, increased demand, decreased market supply, etc.).",,,,pending,NEEDS REVIEW,,,Wikipedia — Inventory valuation,0.056,NO SOURCE,strong APQC candidate but no validator agreed
CM-1-1-7-2,4,no,Production Scheduling,Downstream Operations > Commercial & Marketing > Planning & Scheduling > Refinery Scheduling > Production Scheduling,WEAK,10303,4.3.1,3,1,Schedule production,0.5,0.5,Scheduling the production of final products. Generate a detailed schedule plan. Create and release production orders and lots. Schedule the planned and unplanned maintenance orders.,,,,pending,NEEDS REVIEW,,,,,REVIEW LINK,weak APQC candidate; manual review needed
